URL,A,B,C,D,E,標題,提出日,F,G,提出者,H,I,J,K,L,M,N,O,附加檔名,附加檔說明,附加檔URL,本文檔案位置
http://test.panasonic.com.tw/peph/PEPH4400.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=003765&DOCCRDT=20090218&DOCCRTM=141842&DOCSTATUS=B&DOCERCD=A31&DOCERNAM=&DOCRELEV=01&DOCATHCD=1&DOCEXPDT=21090218&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,003765,BULLETIN,XBULET,%u793E%u5167%u96FB%u8166%u5B89%u88DD%u8CC7%u7522%u7BA1%u7406%u8EDF%u9AD4%u53CA%u52A0%u5165%u516C%u53F8%u96FB%u8166%u7DB2%u57DF%u806F%u7D61,20090218,141842,A31,資訊系統中心[陳俊傑],04,21090218,N,B,01,PEPH4400,1,04,doc01.pdf,%u8CC7%u7522%u7BA1%u7406%u8EDF%u9AD4%u5B89%u88DD%u6B65%u9A5F%u8AAA%u660E,\\10.90.118.89\file\BULLETIN\XBULET\attach\003765\doc01.pdf,\\10.90.118.89\file\BULLETIN\XBULET\content\003765
http://test.panasonic.com.tw/peph/PEPH4500.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=004532&DOCCRDT=20100728&DOCCRTM=083745&DOCSTATUS=B&DOCERCD=780450&DOCERNAM=&DOCRELEV=01&DOCATHCD=2&DOCEXPDT=21100728&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,004532,BULLETIN,XBULET,%u6BCF%u6708%u6708%u5E95%u92B7%u552E%u7D50%u5E33%u6642%u9593%u9023%u7D61,20100728,083745,780450,陳宇祥,07,21100728,N,B,01,PEPH4500,2,00,img-727184751-0001.pdf,,\\10.90.118.89\file\BULLETIN\XBULET\attach\004532\img-727184751-0001.pdf,\\10.90.118.89\file\BULLETIN\XBULET\content\004532
http://test.panasonic.com.tw/peph/PEPH4400.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=004971&DOCCRDT=20110511&DOCCRTM=183516&DOCSTATUS=B&DOCERCD=A31&DOCERNAM=&DOCRELEV=01&DOCATHCD=0&DOCEXPDT=21110511&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,004971,BULLETIN,XBULET,%u96FB%u8166%u7DAD%u4FEE%u96F6%u4EF6%u5831%u5EE2%u8655%u7406%u65B9%u5F0F,20110511,183516,A31,資訊系統中心[林詩揚],04,21110511,N,B,01,PEPH4400,0,NULL,NULL,NULL,NULL,\\10.90.118.89\file\BULLETIN\XBULET\content\004971
http://test.panasonic.com.tw/peph/PEPH4500.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=005000&DOCCRDT=20110527&DOCCRTM=172424&DOCSTATUS=B&DOCERCD=A22&DOCERNAM=&DOCRELEV=01&DOCATHCD=2&DOCEXPDT=21110527&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,005000,BULLETIN,XBULET,%u5927%u5712%u5EE0%u4EA4%u901A%u8ECA%u7BA1%u7406%u8FA6%u6CD5.%u4FEE%u8A02,20110527,172424,A22,總務部[傅芳瑞],04,21110527,N,B,01,PEPH4500,2,00,大園廠交通車管理辦法.5.xls,,\\10.90.118.89\file\BULLETIN\XBULET\attach\005000\大園廠交通車管理辦法.5.xls,\\10.90.118.89\file\BULLETIN\XBULET\content\005000
http://test.panasonic.com.tw/peph/PEPH4500.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=005014&DOCCRDT=20110608&DOCCRTM=173016&DOCSTATUS=B&DOCERCD=A25&DOCERNAM=&DOCRELEV=01&DOCATHCD=2&DOCEXPDT=21110608&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,005014,BULLETIN,XBULET,PTW%u7A7A%u6C23%u6C61%u67D3%u9632%u5236%u53CA%u8F3B%u5C04%u8A2D%u5099%u7BA1%u7406%u4E8B%u9805%u8AAA%u660E,20110608,173016,A25,環境保護部[王雅玲],04,21110608,N,B,01,PEPH4500,2,00,20110608（PTW空氣污染防制及輻射設備管理事項說明）.pdf,,\\10.90.118.89\file\BULLETIN\XBULET\attach\005014\20110608（PTW空氣污染防制及輻射設備管理事項說明）.pdf,\\10.90.118.89\file\BULLETIN\XBULET\content\005014
http://test.panasonic.com.tw/peph/PEPH4500.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=005039&DOCCRDT=20110706&DOCCRTM=094436&DOCSTATUS=B&DOCERCD=A25&DOCERNAM=&DOCRELEV=01&DOCATHCD=2&DOCEXPDT=21110706&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,005039,BULLETIN,XBULET,PTW-G%u5783%u573E%u5206%u985E%u5BA3%u5C0E%u4E8B%u9805%u9023%u7D61,20110706,094436,A25,環境保護部[王雅玲],04,21110706,N,B,01,PEPH4500,2,00,201106031（垃圾分類宣導事項連絡）.pdf,,\\10.90.118.89\file\BULLETIN\XBULET\attach\005039\201106031（垃圾分類宣導事項連絡）.pdf,\\10.90.118.89\file\BULLETIN\XBULET\content\005039
http://test.panasonic.com.tw/peph/PEPH4500.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=005046&DOCCRDT=20110708&DOCCRTM=145226&DOCSTATUS=B&DOCERCD=A25&DOCERNAM=&DOCRELEV=01&DOCATHCD=2&DOCEXPDT=21110708&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,005046,BULLETIN,XBULET,%u91CD%u7533%u793E%u5167%u5EE2%u68C4%u7269%u7BA1%u7406%u4E8B%u9805,20110708,145226,A25,環境保護部[王雅玲],04,21110708,N,B,01,PEPH4500,2,00,20110708（重申社內廢棄物管理事項）.pdf,,\\10.90.118.89\file\BULLETIN\XBULET\attach\005046\20110708（重申社內廢棄物管理事項）.pdf,\\10.90.118.89\file\BULLETIN\XBULET\content\005046
http://test.panasonic.com.tw/peph/PEPH4400.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=005282&DOCCRDT=20120110&DOCCRTM=193317&DOCSTATUS=B&DOCERCD=A29&DOCERNAM=&DOCRELEV=01&DOCATHCD=1&DOCEXPDT=21120110&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,005282,BULLETIN,XBULET,Global%20ID%u7533%u8ACB%u8868%u683C%u53CA%u5BC6%u78BC%u8B8A%u66F4%u64CD%u4F5C%u624B%u518A,20120110,193317,A29,勞政部[鄭惠蜻],04,21120110,N,B,01,PEPH4400,1,01,Global ID的賦予及運用.pdf,Global%20ID%u904B%u7528%u8AAA%u660E%u8CC7%u6599,\\10.90.118.89\file\BULLETIN\XBULET\attach\005282\Global ID的賦予及運用.pdf,\\10.90.118.89\file\BULLETIN\XBULET\content\005282
http://test.panasonic.com.tw/peph/PEPH4400.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=005282&DOCCRDT=20120110&DOCCRTM=193317&DOCSTATUS=B&DOCERCD=A29&DOCERNAM=&DOCRELEV=01&DOCATHCD=1&DOCEXPDT=21120110&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,005282,BULLETIN,XBULET,Global%20ID%u7533%u8ACB%u8868%u683C%u53CA%u5BC6%u78BC%u8B8A%u66F4%u64CD%u4F5C%u624B%u518A,20120110,193317,A29,勞政部[鄭惠蜻],04,21120110,N,B,01,PEPH4400,1,02,(繁)Global_ID_Operation_Manual_Users_C_20120101.ppt,Global%20ID%u64CD%u4F5C%u624B%u518A,\\10.90.118.89\file\BULLETIN\XBULET\attach\005282\(繁)Global_ID_Operation_Manual_Users_C_20120101.ppt,\\10.90.118.89\file\BULLETIN\XBULET\content\005282
http://test.panasonic.com.tw/peph/PEPH4400.asp?CTLLOC=BULLETIN&LOC=XBULET&DOCNO=005282&DOCCRDT=20120110&DOCCRTM=193317&DOCSTATUS=B&DOCERCD=A29&DOCERNAM=&DOCRELEV=01&DOCATHCD=1&DOCEXPDT=21120110&DOCSBJ=&DOCTOABC=N&DOCTOCTL=20&DOCTOITM=12&DOCCTLID=20&DOCITMID=12&ACTION=viewmail&FROM=,20,12,005282,BULLETIN,XBULET,Global%20ID%u7533%u8ACB%u8868%u683C%u53CA%u5BC6%u78BC%u8B8A%u66F4%u64CD%u4F5C%u624B%u518A,20120110,193317,A29,勞政部[鄭惠蜻],04,21120110,N,B,01,PEPH4400,1,03,Global ID申請表.xls,Global%20ID%u7533%u8ACB%u8868,\\10.90.118.89\file\BULLETIN\XBULET\attach\005282\Global ID申請表.xls,\\10.90.118.89\file\BULLETIN\XBULET\content\005282
